,B-SOiD labels,Start time (frames),Run lengths
0,11,0,1
1,6,1,1
2,0,2,2
3,6,4,1
4,8,5,1
5,0,6,2
6,8,8,1
7,0,9,3
8,9,12,1
9,5,13,3
10,1,16,1
11,5,17,12
12,8,29,1
13,11,30,13
14,5,43,3
15,9,46,5
16,5,51,2
17,11,53,13
18,0,66,2
19,1,68,4
20,0,72,4
21,1,76,2
22,8,78,1
23,9,79,1
24,0,80,1
25,6,81,1
26,1,82,1
27,0,83,1
28,9,84,1
29,1,85,4
30,10,89,3
31,11,92,1
32,2,93,7
33,7,100,3
34,2,103,3
35,11,106,2
36,5,108,3
37,11,111,1
38,5,112,6
39,11,118,1
40,0,119,2
41,9,121,2
42,5,123,1
43,1,124,1
44,0,125,2
45,1,127,1
46,10,128,1
47,9,129,2
48,7,131,4
49,2,135,2
50,10,137,1
51,2,138,1
52,11,139,3
53,6,142,1
54,10,143,4
55,2,147,1
56,11,148,16
57,5,164,1
58,11,165,7
59,8,172,2
60,0,174,1
61,8,175,1
62,5,176,1
63,11,177,1
64,5,178,1
65,11,179,1
66,10,180,2
67,11,182,6
68,8,188,1
69,2,189,2
70,7,191,1
71,2,192,1
72,11,193,2
73,2,195,3
74,11,198,2
75,7,200,1
76,11,201,1
77,1,202,1
78,11,203,2
79,5,205,1
80,11,206,17
81,0,223,1
82,1,224,1
83,0,225,1
84,2,226,1
85,0,227,1
86,11,228,2
87,5,230,2
88,11,232,1
89,5,233,3
90,1,236,1
91,5,237,12
92,9,249,1
93,1,250,3
94,10,253,1
95,1,254,2
96,2,256,1
97,1,257,2
98,9,259,6
99,8,265,2
100,0,267,1
101,5,268,4
102,8,272,1
103,5,273,1
104,8,274,1
105,11,275,1
106,5,276,1
107,11,277,1
108,9,278,2
109,1,280,2
110,10,282,1
111,2,283,3
112,9,286,2
113,2,288,2
114,11,290,3
115,2,293,4
116,11,297,1
117,1,298,1
118,10,299,1
119,1,300,1
120,10,301,1
121,7,302,1
122,5,303,13
123,9,316,1
124,1,317,1
125,10,318,1
126,7,319,2
127,2,321,1
128,9,322,3
129,2,325,1
130,9,326,4
131,5,330,2
132,8,332,1
133,11,333,3
134,8,336,1
135,11,337,2
136,8,339,1
137,11,340,1
138,8,341,2
139,11,343,1
140,5,344,1
141,9,345,1
142,11,346,6
143,10,352,1
144,9,353,1
145,13,354,1
146,9,355,6
147,5,361,1
148,10,362,1
149,14,363,2
150,5,365,2
151,10,367,6
152,9,373,1
153,8,374,2
154,0,376,1
155,8,377,1
156,1,378,1
157,0,379,3
158,5,382,1
159,1,383,3
160,0,386,1
161,2,387,9
162,10,396,3
163,2,399,7
164,10,406,2
165,11,408,2
166,5,410,1
167,11,411,8
168,8,419,2
169,2,421,2
170,9,423,9
171,10,432,1
172,2,433,1
173,10,434,1
174,2,435,1
175,11,436,9
176,0,445,1
177,9,446,1
178,0,447,1
179,11,448,1
180,2,449,1
181,0,450,1
182,2,451,1
183,9,452,4
184,2,456,6
185,9,462,3
186,0,465,1
187,2,466,2
188,0,468,1
189,9,469,2
190,2,471,1
191,10,472,1
192,2,473,2
193,11,475,10
194,1,485,1
195,11,486,11
196,8,497,1
197,11,498,5
198,1,503,1
199,2,504,2
200,11,506,2
201,1,508,2
202,5,510,2
203,1,512,1
204,11,513,3
205,5,516,1
206,6,517,1
207,5,518,4
208,0,522,1
209,1,523,1
210,9,524,3
211,0,527,3
