,Stats,,,,,,
B-SOiD labels,Percent of time,Mean duration (frames),10th %tile (frames),25th %tile (frames),50th %tile (frames),75th %tile (frames),90th %tile (frames)
0,0.05677471310650292,2.2989130434782608,1.0,1.0,1.0,3.0,4.0
1,0.08126971344205088,3.0971867007672635,1.0,1.0,2.0,4.0,6.0
2,0.1620696597543789,4.552309142318568,1.0,1.0,3.0,6.0,10.0
3,0.0020132876988121604,1.3333333333333333,1.0,1.0,1.0,1.0,2.0
4,3.355479498020267e-05,1.0,1.0,1.0,1.0,1.0,1.0
5,0.05499630897255218,2.7969283276450514,1.0,1.0,2.0,3.0,6.0
6,0.009764445339238977,1.2543103448275863,1.0,1.0,1.0,1.0,2.0
7,0.05308368565868062,3.5233853006681515,1.0,1.0,2.0,4.0,7.0
8,0.019394671498557142,1.705014749262537,1.0,1.0,1.0,2.0,3.0
9,0.2448157841755587,7.414634146341464,1.0,2.0,4.0,7.0,14.0
10,0.1256291524058788,3.949367088607595,1.0,1.0,3.0,5.0,8.0
11,0.17810885175491578,6.35688622754491,1.0,2.0,4.0,8.0,15.0
12,0.0019461781088517549,1.2340425531914894,1.0,1.0,1.0,1.0,2.0
13,0.003925911012683712,1.8571428571428572,1.0,1.0,1.0,2.0,3.0
14,0.006174082276357291,2.216867469879518,1.0,1.0,1.0,2.0,4.799999999999997
