,Stats,,,,,,
B-SOiD labels,Percent of time,Mean duration (frames),10th %tile (frames),25th %tile (frames),50th %tile (frames),75th %tile (frames),90th %tile (frames)
0,0.031336110221082986,2.0589473684210526,1.0,1.0,1.0,2.0,4.0
1,0.19721243191284846,3.5171428571428573,1.0,1.0,2.0,4.0,8.0
2,0.07898109580262737,4.142857142857143,1.0,1.0,3.0,5.5,9.0
3,0.0016981736622877282,1.8928571428571428,1.0,1.0,1.0,2.0,3.3000000000000007
4,0.0,,0.0,0.0,0.0,0.0,0.0
5,0.17484780519064402,4.048219584569733,1.0,1.0,3.0,5.0,9.0
6,0.009099647548862545,1.7317073170731707,1.0,1.0,1.0,2.0,3.0
7,0.059019545017622556,2.995121951219512,1.0,1.0,2.0,3.0,6.0
8,0.043639859019545015,1.962536023054755,1.0,1.0,2.0,2.0,3.0
9,0.12303748798462032,4.423963133640553,1.0,2.0,3.0,5.0,9.0
10,0.10429349567446332,3.8566350710900474,1.0,1.0,2.0,5.0,9.0
11,0.17222044216597243,6.087202718006795,1.0,2.0,3.0,8.0,17.800000000000068
12,0.0008651073373918616,1.5,1.0,1.0,1.0,2.0,2.3000000000000007
13,0.0012175584748478053,1.7272727272727273,1.0,1.0,1.0,2.0,3.0
