,Stats,,,,,,
B-SOiD labels,Percent of time,Mean duration (frames),10th %tile (frames),25th %tile (frames),50th %tile (frames),75th %tile (frames),90th %tile (frames)
0,0.031677562849632676,1.5235008103727714,1.0,1.0,1.0,2.0,2.0
1,0.19451371571072318,2.5964912280701755,1.0,1.0,1.0,2.0,6.0
2,0.10841140392262587,2.689799331103679,1.0,1.0,1.0,3.0,6.0
3,0.0016175776774280514,1.4545454545454546,1.0,1.0,1.0,1.0,2.0
4,0.0,,0.0,0.0,0.0,0.0,0.0
5,0.10672642717530498,2.5959016393442624,1.0,1.0,1.0,2.0,6.0
6,0.010918649322639348,1.5069767441860464,1.0,1.0,1.0,1.0,2.0
7,0.06197344476646222,1.8557013118062564,1.0,1.0,1.0,2.0,4.0
8,0.032014558199096856,1.539708265802269,1.0,1.0,1.0,2.0,2.0
9,0.15023252679113028,4.162464985994398,1.0,1.0,1.0,4.0,8.0
10,0.11397182718878479,2.720836685438455,1.0,1.0,1.0,2.0,6.0
11,0.18514524499561907,4.374203821656051,1.0,1.0,1.0,4.0,12.0
12,0.001415380467749545,1.05,1.0,1.0,1.0,1.0,1.0
13,0.000640291163981937,1.0555555555555556,1.0,1.0,1.0,1.0,1.0
