,B-SOiD labels,Start time (frames),Run lengths
0,1,0,4
1,5,4,1
2,1,5,1
3,5,6,16
4,8,22,1
5,5,23,1
6,9,24,1
7,8,25,1
8,9,26,3
9,5,29,1
10,9,30,2
11,8,32,1
12,0,33,1
13,8,34,4
14,5,38,2
15,8,40,4
16,5,44,1
17,8,45,1
18,5,46,22
19,8,68,1
20,5,69,9
21,8,78,1
22,5,79,1
23,8,80,2
24,5,82,33
25,8,115,1
26,5,116,26
27,0,142,1
28,5,143,1
29,8,144,2
30,9,146,1
31,5,147,1
32,9,148,2
33,0,150,1
34,5,151,1
35,0,152,4
36,5,156,2
37,1,158,2
38,11,160,1
39,1,161,1
40,11,162,16
41,8,178,1
42,11,179,1
43,5,180,1
44,8,181,1
45,11,182,1
46,8,183,1
47,11,184,4
48,8,188,3
49,11,191,7
50,8,198,1
51,11,199,1
52,5,200,2
53,8,202,1
54,5,203,1
55,8,204,4
56,5,208,10
57,9,218,4
58,5,222,1
59,9,223,1
60,5,224,6
61,0,230,2
62,9,232,7
63,5,239,1
64,11,240,1
65,8,241,1
66,5,242,1
67,8,243,2
68,5,245,1
69,9,246,1
70,11,247,1
71,9,248,2
72,0,250,1
73,9,251,1
74,6,252,1
75,0,253,1
76,11,254,2
77,8,256,1
78,5,257,1
79,11,258,4
80,5,262,2
81,0,264,2
82,3,266,2
83,2,268,2
84,10,270,6
85,7,276,1
86,3,277,1
87,10,278,1
88,7,279,1
89,10,280,4
90,5,284,1
91,7,285,1
92,0,286,1
93,5,287,1
94,8,288,1
95,0,289,1
96,11,290,1
97,8,291,1
98,5,292,1
99,8,293,1
100,1,294,1
101,5,295,1
102,6,296,2
103,5,298,1
104,1,299,1
105,8,300,1
106,5,301,1
107,11,302,2
108,8,304,1
109,11,305,1
110,5,306,2
111,1,308,2
112,5,310,2
113,11,312,1
114,8,313,1
115,11,314,2
116,5,316,8
117,11,324,1
118,5,325,1
119,2,326,1
120,11,327,1
121,2,328,4
122,11,332,4
123,2,336,1
124,11,337,1
125,10,338,4
126,11,342,24
127,8,366,1
128,11,367,1
129,5,368,1
130,8,369,1
131,5,370,6
132,8,376,1
133,5,377,1
134,8,378,3
135,5,381,1
136,8,382,2
137,5,384,14
138,8,398,1
139,5,399,2
140,8,401,1
141,5,402,18
142,1,420,1
143,6,421,7
144,1,428,4
145,5,432,6
146,2,438,1
147,5,439,1
148,2,440,6
149,11,446,1
150,2,447,1
151,11,448,4
152,5,452,4
153,11,456,2
154,1,458,2
155,5,460,2
156,1,462,1
157,5,463,1
158,11,464,8
159,8,472,2
160,5,474,14
161,9,488,1
162,5,489,1
163,9,490,6
164,0,496,1
165,9,497,1
166,5,498,1
167,0,499,1
168,5,500,2
169,11,502,1
170,5,503,1
171,11,504,2
172,10,506,2
173,11,508,36
174,5,544,10
175,0,554,1
176,1,555,1
177,9,556,2
178,0,558,1
179,9,559,1
180,0,560,3
181,6,563,1
182,11,564,1
183,0,565,5
184,9,570,16
185,11,586,12
186,8,598,4
187,11,602,1
188,8,603,1
189,11,604,8
190,8,612,1
191,6,613,1
192,8,614,2
193,1,616,1
194,5,617,1
195,8,618,1
196,1,619,2
197,8,621,1
198,5,622,2
199,9,624,4
200,8,628,1
201,9,629,1
202,11,630,24
203,6,654,1
204,11,655,1
205,1,656,1
206,11,657,1
207,5,658,2
208,9,660,4
209,8,664,1
210,9,665,1
211,8,666,2
212,6,668,2
213,8,670,1
214,0,671,1
215,8,672,2
216,2,674,1
217,6,675,1
218,1,676,1
219,2,677,1
220,9,678,4
221,1,682,1
222,9,683,1
223,1,684,2
224,9,686,1
225,1,687,1
226,9,688,5
227,1,693,1
228,9,694,2
229,5,696,4
230,11,700,1
231,5,701,1
232,11,702,2
233,1,704,1
234,11,705,1
235,1,706,1
236,5,707,1
237,11,708,4
238,5,712,18
239,9,730,6
240,11,736,18
241,6,754,1
242,11,755,1
