,B-SOiD labels,Start time (frames),Run lengths
0,10,0,1
1,1,1,3
2,0,4,1
3,1,5,2
4,2,7,3
5,11,10,12
6,8,22,1
7,5,23,1
8,9,24,1
9,8,25,2
10,11,27,2
11,5,29,8
12,0,37,1
13,11,38,2
14,1,40,3
15,11,43,1
16,2,44,3
17,10,47,1
18,11,48,2
19,5,50,1
20,11,51,8
21,8,59,3
22,1,62,1
23,9,63,2
24,5,65,2
25,1,67,1
26,11,68,1
27,7,69,1
28,11,70,13
29,1,83,2
30,7,85,1
31,1,86,2
32,5,88,5
33,11,93,3
34,5,96,7
35,6,103,1
36,11,104,4
37,1,108,2
38,7,110,1
39,9,111,3
40,5,114,1
41,9,115,1
42,10,116,1
43,7,117,1
44,9,118,1
45,7,119,3
46,2,122,2
47,10,124,1
48,2,125,2
49,11,127,24
50,1,151,1
51,8,152,1
52,5,153,1
53,11,154,2
54,5,156,1
55,8,157,1
56,5,158,1
57,9,159,1
58,5,160,1
59,1,161,2
60,6,163,1
61,10,164,2
62,2,166,1
63,11,167,8
64,7,175,1
65,2,176,1
66,7,177,1
67,1,178,1
68,9,179,1
69,11,180,6
70,1,186,1
71,10,187,3
72,7,190,2
73,2,192,2
74,11,194,5
75,8,199,2
76,11,201,14
77,1,215,1
78,11,216,5
79,5,221,1
80,11,222,2
81,2,224,1
82,7,225,1
83,11,226,2
84,5,228,1
85,11,229,33
86,6,262,1
87,1,263,3
88,10,266,4
89,2,270,1
90,11,271,11
91,1,282,1
92,9,283,2
93,0,285,1
94,1,286,1
95,9,287,1
96,7,288,1
97,9,289,1
98,2,290,1
99,10,291,1
100,7,292,1
101,2,293,2
102,10,295,1
103,2,296,10
104,11,306,7
105,8,313,1
106,11,314,5
107,8,319,1
108,11,320,2
109,5,322,1
110,1,323,1
111,8,324,1
112,11,325,13
113,5,338,1
114,1,339,2
115,11,341,1
116,1,342,4
117,9,346,1
118,1,347,1
119,5,348,3
120,8,351,2
121,1,353,3
122,9,356,4
123,8,360,1
124,5,361,2
125,11,363,1
126,10,364,3
127,2,367,2
128,9,369,1
129,2,370,1
130,9,371,1
131,2,372,3
132,11,375,2
133,1,377,1
134,8,378,1
135,1,379,3
136,5,382,2
137,1,384,1
138,11,385,1
139,2,386,1
140,0,387,1
141,6,388,1
142,2,389,3
143,11,392,2
144,2,394,2
145,11,396,13
146,8,409,2
147,5,411,1
148,11,412,2
149,1,414,1
150,8,415,2
151,11,417,3
152,1,420,1
153,11,421,1
