Type,Features,,,,,,,SVM classifier
Frame@10Hz,Relative snout to forepaws placement,Relative snout to hind paws placement,Inter-forepaw distance,Body length,Body angle,Snout displacement,Tail-base displacement,B-SOiD labels
0,11.03673128951951,36.320189662848314,13.517816905405724,53.551331336064564,9.776245558665215,1.4916000366210938,0.37908935546875,2.0
1,4.142696081709843,28.369182022737267,12.437956487156288,44.204797675798815,12.592348181938963,2.43170166015625,1.556365966796875,2.0
2,6.118084477505871,27.388000637011054,13.005166012051195,44.76855984347527,18.466148738900245,0.0,1.76507568359375,2.0
3,11.983583749022149,30.358589069826348,13.302695928221503,50.272812699194674,18.13564478574184,0.6336669921875,0.0,2.0
4,15.194704478940565,36.148152758469614,12.445053028762253,54.52335508600957,16.524497424407066,0.352386474609375,7.63897705078125,11.0
5,18.92200261600331,44.15656786971094,12.654106006133919,60.34022638353673,14.930463648471427,0.0,9.09075927734375,11.0
6,17.3668092114607,41.72447419700808,13.537722907741918,57.521206222542155,9.281451414338616,4.572723388671875,6.149017333984375,11.0
7,15.594872782932967,39.015444017142755,13.660020401361749,54.816898015362185,0.2268184338499838,0.095428466796875,0.735107421875,1.0
8,15.493114945232627,39.423288813755164,13.60808748675047,54.897447349648104,1.312483576817488,0.245147705078125,1.049896240234375,1.0
9,14.33377659094943,38.86994751304495,13.982529190140983,54.0734691042761,3.483532675902982,2.331268310546875,1.03582763671875,7.0
10,11.835675938889842,36.72492751552183,14.587227105586765,52.029139504132836,3.0763786363581214,2.70172119140625,0.390350341796875,7.0
11,11.26361246753931,36.87272317856859,14.852887284273242,53.012136741650835,0.8751545062850633,0.0,0.6558837890625,10.0
12,13.604481213935419,39.263411870799615,14.908272238040674,55.278139872459384,0.22158263252933785,0.586761474609375,0.466888427734375,10.0
13,13.687195566614346,39.01082083782893,14.71859831483873,54.425233201145744,-0.9364000118552838,0.75836181640625,0.0,10.0
14,11.30606055181417,36.86612771281305,14.385350169012945,52.11193626014901,-0.9356462187248249,0.0,0.344757080078125,7.0
15,8.395931950200566,34.09334032055791,14.284707643798066,49.28345983210467,0.2454783634015774,0.71435546875,0.029510498046875,7.0
16,8.2535223767892,34.08997573430635,14.192555624327259,49.187252777152054,-3.721704583694936,2.943695068359375,0.3360595703125,7.0
17,13.44842238808842,38.406134792132164,13.895347359572911,53.22714752641347,-1.722017890725627,2.015716552734375,0.460479736328125,7.0
18,13.3800853794767,38.51780645451557,13.836735872950154,53.44418352870176,3.916380766318404,3.51593017578125,0.083770751953125,7.0
19,12.485665410820907,37.65941366648005,15.024017430396142,53.42506326089243,7.697748608941154,6.58831787109375,0.442596435546875,7.0
20,11.433599030593918,38.0077217456637,15.142835946168141,55.21190647773395,6.439144845537777,5.562652587890625,0.58233642578125,7.0
21,11.840310358437133,40.4209552846011,14.865707801101156,59.02512022858201,4.163447488631684,4.377960205078125,0.1795654296875,7.0
22,11.037129887277146,43.04915018264524,13.226194359974752,61.59272774873396,13.075106526312004,8.512176513671875,5.0933837890625,11.0
23,11.4201384729617,42.88923889543637,12.144682521761677,60.924785310796636,11.776218281631332,8.337646484375,2.97723388671875,11.0
24,12.178443997256,44.04578757387165,11.380912412157139,62.20733237060536,5.202362632349626,4.5123291015625,0.888427734375,11.0
25,11.968288117935757,45.68544993474018,11.081666044807028,64.04475145697378,-0.002104363311039359,4.66705322265625,4.137939453125,11.0
26,9.070335770292647,42.31389038094494,11.87812483306423,61.43005736062777,-1.9700575455802543,5.056640625,8.79351806640625,11.0
27,9.077099639331944,39.88231405616769,11.466513365839033,58.79351441139659,0.6428195317187559,2.347869873046875,2.45257568359375,3.0
28,6.8584630174681855,39.47507373581542,12.47974006357393,57.74017416960556,-5.51918692639077,2.854248046875,8.1116943359375,8.0
29,10.193812510745765,41.37730154930623,13.075847535200765,56.920858845727366,-3.928403632504044,5.591217041015625,8.92205810546875,11.0
30,10.519736464228771,42.06559120008754,12.76424871454163,56.1630973037751,0.24399088733173868,2.427886962890625,2.886383056640625,6.0
31,11.749718127682758,44.10791041338849,12.70269059779583,58.673301469823116,-1.8435166874716888,4.493896484375,4.95159912109375,11.0
32,10.487216304771707,44.09099818992672,12.554875833593382,57.176468398602886,1.4720606078053986,4.8336181640625,4.46807861328125,11.0
33,9.791949218115555,43.339991812954366,12.90091043541198,57.25471500821288,-0.766984324866712,0.426422119140625,1.1949462890625,6.0
34,7.48628873884854,39.655192499765604,12.639151959220758,53.114232825572714,1.9208105036559415,2.60113525390625,4.120330810546875,2.0
35,6.357789662348619,39.70555047249703,13.770740689258176,54.11099303590627,-0.21369080958154685,4.694610595703125,2.387603759765625,2.0
36,9.992186945366164,43.58755672111356,14.255566892378237,57.20181260043873,-2.6913005564449564,0.429443359375,2.246337890625,6.0
37,9.931886827734566,43.75984763518685,13.600134908268641,57.048680688357564,-9.207357123327432,0.88433837890625,9.635162353515625,8.0
38,13.651555280516376,43.57620948249923,13.19394820638987,58.96374559963763,-0.26709014937055225,1.37493896484375,0.86053466796875,1.0
39,14.249403209778965,42.71978793530008,12.78621656473869,58.01737087271161,-0.040468222933592445,0.700714111328125,1.0625,1.0
40,15.138289896244782,40.90865852117331,13.452455643238915,57.22328206759906,-2.990027368140279,1.121490478515625,4.203094482421875,0.0
41,15.726715102894605,39.944641074689244,13.859925728491461,56.464481070424625,-2.458777860041912,2.228302001953125,0.32525634765625,1.0
42,16.649170544148035,38.92160885876372,13.963646467447116,55.53849732859351,-6.202862899448322,5.40032958984375,0.66033935546875,1.0
43,18.105248094836867,38.3913637340182,13.846923839703102,55.976646408030234,-7.51239382926253,6.115936279296875,1.237823486328125,5.0
44,18.951008953356208,39.28658382760713,13.271212125335637,57.29059390052383,-6.348152881674892,6.069427490234375,0.330474853515625,5.0
45,18.204542339981653,39.683606191669085,13.479847840490507,58.305836356294385,-4.910914629418864,3.3082275390625,1.7650146484375,1.0
46,19.186181926555037,40.66094975830313,13.312781043914864,59.7741441388022,-6.299794015512011,6.03515625,0.782745361328125,5.0
47,21.315948567532512,41.607688417015666,14.68224093800351,60.105597723659045,-6.152394582323133,5.298553466796875,0.094635009765625,5.0
48,21.660970479589803,41.62217661818366,14.724855011186474,57.703529981906065,4.574961186836866,1.967437744140625,6.85028076171875,1.0
49,21.164660265178117,43.61559605102964,13.686339137644467,58.06094307258476,3.690784695671701,1.12109375,4.0953369140625,1.0
50,19.33312247968886,41.58859657958811,13.725891476619733,56.87561806965029,-1.6574797959710026,0.337982177734375,0.0,1.0
