AnimalID,BatchID,Genotype,DoB,Sex,EarTag,OF,StartAge (wk),StartAge(month),Average distance (m),Average speed (m/min),Mid centre ,stationary,sitting,orienting right,orienting left,grooming,rearing,locomotion
1,1,FAD+,12/21/2021,M,TR,5/30/2022,22.9,5.3,119.9116137,5.301913648,38.15,35.61999359,19.72124319,4.363985902,0.086510734,12.3037488,10.42934957,17.22204422
2,1,FAD-,12/21/2021,M,BL,5/30/2022,22.9,5.3,74.01472369,3.272574371,62.85,45.88913809,18.18327459,2.899711631,0.253123999,7.15475809,12.73950657,12.8324255
3,2,FAD+,4/27/2022,M,TL,06/06/2022,5.7,1.3,113.3388856,5.695421388,57.02,36.78341817,9.282078757,3.114117332,0.231047415,18.71484061,9.680551835,21.8189124
4,2,FAD-,4/27/2022,M,TR,06/06/2022,5.7,1.3,114.6366345,5.7606349,46.73,32.5508974,15.89874096,3.425529065,0.304714707,13.99343691,9.171577819,24.45754085
5,3,FAD+,9/28/2021,M,TR,6/14/2022,37,8.5,83.62787738,4.248664388,69.57,36.13593284,18.85662063,2.795829949,0.233549959,16.42296236,12.42891958,13.00094774
6,3,FAD-,9/28/2021,M,TL,6/14/2022,37,8.5,80.26887598,4.078012328,41.6,40.04535608,20.26468995,3.279853777,0.199702139,8.255483347,16.37219063,11.52518278
7,3,FAD+,9/28/2021,F,TR,6/14/2022,37,8.5,125.0862482,6.354932169,72.15,32.3991335,12.74708909,2.477660439,0.291091254,19.21540753,9.575548335,22.8540482
8,3,FAD-,9/28/2021,F,TL,6/14/2022,37,8.5,65.70393751,3.338049323,60.55,33.98659627,27.54535608,1.678851882,0.111697807,8.868128892,17.61779041,10.00541565
9,4,FAD+,1/26/2022,M,TL,6/21/2022,20.9,4.8,97.83113303,4.924385891,37.34,32.17233742,20.11609959,1.785115093,0.258371921,19.17320985,9.724179585,16.64988927
10,4,FAD-,1/26/2022,M,TR,6/21/2022,20.9,4.8,115.9801869,5.837928869,49.17,36.40024159,15.21374404,3.34541306,0.359036306,15.15670089,7.472652842,21.98174619
11,4,FAD+,1/26/2022,F,BR,6/21/2022,20.9,4.8,134.9968229,6.795142095,44.44,30.27984699,13.23065566,2.191128112,0.144285618,20.00201329,10.67713576,23.18300785
12,4,FAD-,1/26/2022,F,TL,6/21/2022,20.9,4.8,108.1003291,5.441291734,72.64,34.26280116,8.126971344,1.93946715,0.194617811,24.48157842,12.56291524,17.81088518
13,5,FAD+,2/21/2022,M,TR,6/28/2022,18.1,4.2,110.3312907,5.466455361,36.76,32.19653569,19.45137157,3.20145582,0.141538047,15.02325268,11.39718272,18.5145245
15,5,FAD+,2/21/2022,F,TL,6/28/2022,18.1,4.2,148.5439426,7.359732913,54.72,29.5073128,16.64757026,3.501381681,0.097728651,16.78573836,8.670890342,24.68153939
16,5,FAD-,2/21/2022,F,TR,6/28/2022,18.1,4.2,117.5771953,5.825459716,69.03,41.80427309,11.521871,2.904899912,0.239266698,12.44860821,9.351620948,21.51041316
17,6,FAD+,3/17/2022,M,BR,07/04/2022,15.6,3.6,98.22269254,4.956569851,40.88,39.52182393,14.80260946,3.090322147,0.319456588,18.79749815,9.398749075,13.92830722
18,6,FAD-,3/17/2022,M,TL,07/04/2022,15.6,3.6,108.746976,5.487652281,51.99,38.11957764,16.00645639,3.17438967,0.269016074,11.3255767,9.993947138,21.05050777
19,6,FAD+,3/17/2022,F,TL,07/04/2022,15.6,3.6,148.3539088,7.486320041,44.8,30.52996166,15.75425382,2.95581411,0.134508037,17.99044993,8.326047481,23.69359069
20,6,FAD-,3/17/2022,F,TR,07/04/2022,15.6,3.6,117.8892069,5.948992779,60.02,35.53029793,12.80852781,2.579191607,0.14459614,19.74914251,7.660232699,21.02024346
